"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.590521516E0,1.389093399E1,1.929931068E1,5.433502197E0
7.609761516E0,8.627920151E0,1.603191185E1,3.580260992E0
7.629001620E0,5.237888813E0,1.298943806E1,4.182055950E0
7.648241620E0,2.653640270E0,1.043569756E1,4.114458561E0
7.667481620E0,8.703892231E-1,8.958727837E0,3.256033421E0
7.686721725E0,-4.121637046E-1,7.944170952E0,2.644068956E0
7.705961725E0,-1.045065284E0,7.061219692E0,3.628715515E0
7.725201829E0,-9.122636318E-1,6.423532486E0,5.358128071E0
7.744441829E0,1.022931710E-1,6.199205399E0,6.613163471E0
7.763681829E0,7.998009920E-1,5.519045353E0,7.878966808E0
7.782921933E0,6.699903607E-1,4.857429981E0,9.130413055E0
7.802161933E0,1.604387641E0,5.394020557E0,1.077667522E1
7.821402037E0,3.128017426E0,7.640282631E0,1.396630764E1
7.840642037E0,7.405786037E0,1.361755371E1,2.014636993E1
7.859882037E0,2.059980965E1,1.822792435E1,2.496491623E1
7.879122141E0,2.903869820E1,1.729711723E1,1.826740646E1
7.898362141E0,2.900400162E1,1.361874962E1,1.035194874E1
7.917602141E0,2.596631241E1,8.272585869E0,7.856235027E0
7.936842245E0,1.858146477E1,3.199802160E0,7.104290485E0
7.956082245E0,1.051466084E1,4.426721931E-1,7.126423836E0
7.975322350E0,6.208178520E0,-8.709874153E-1,6.964908600E0
7.994562350E0,4.968696117E0,-1.754537225E0,4.977071285E0
