"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.915996881E0,3.969093859E-1,-1.076038361E0,-2.404516488E-1
6.935236985E0,-1.882990748E-1,-7.683151960E-1,-5.003746152E-1
6.954476985E0,-4.841103405E-2,-6.557633281E-1,-7.460949421E-1
6.973717089E0,9.043853283E-1,-5.285507441E-1,-9.177479744E-1
6.992957089E0,2.392452002E0,-3.755291104E-1,-9.814306498E-1
7.012197193E0,4.118908405E0,-2.748891478E-3,-8.291725516E-1
7.031437193E0,5.554746151E0,8.524618149E-1,-6.923388839E-1
7.050677297E0,6.257851601E0,2.042273760E0,-6.613374949E-1
7.069917297E0,6.123613834E0,3.252091408E0,-4.945713878E-1
7.089157402E0,5.468767166E0,4.879587650E0,7.735075057E-2
7.108397402E0,4.629133224E0,6.981573582E0,9.377537966E-1
7.127637402E0,4.112341881E0,7.299070358E0,1.964770198E0
7.146877506E0,4.768715858E0,4.424340725E0,2.214155674E0
7.166117506E0,6.267930984E0,3.561799765E0,1.926743865E0
7.185357610E0,7.487216949E0,5.446165085E0,9.986875653E-1
7.204597610E0,7.347939491E0,5.972577572E0,-3.980547488E-1
7.223837714E0,6.068178177E0,5.456549644E0,-1.390251875E0
7.243077714E0,4.674489975E0,5.081784248E0,-1.926896572E0
7.262317818E0,3.568366528E0,4.574308395E0,-2.129550934E0
7.281557818E0,2.546389818E0,4.148382664E0,-2.002643824E0
7.300797922E0,1.688583016E0,3.585318089E0,-1.652312875E0
7.320037922E0,1.200502038E0,2.645960808E0,-1.334663153E0
7.339277922E0,1.147051334E0,1.830456257E0,-9.947169423E-1
7.358518027E0,1.493106246E0,1.626580238E0,-4.475347996E-1
7.377758027E0,1.799913049E0,1.531437993E0,6.940951198E-2
7.396998131E0,1.685528636E0,1.061530232E0,4.725802541E-1
7.416238131E0,1.160795808E0,5.390881896E-1,1.039004683E0
7.435478235E0,3.517054021E-1,1.088866442E-1,1.574580312E0
7.454718235E0,-8.225294352E-1,-2.336557806E-1,1.948429585E0
7.473958235E0,-2.391382933E0,-9.085086584E-1,2.493931770E0
7.493198339E0,-3.816225052E0,-2.109163284E0,3.347004414E0
7.512438339E0,-3.592801094E0,-3.550956964E0,3.821341038E0
7.531678443E0,-9.025527239E-1,-2.959945202E0,3.280878305E0
7.550918443E0,2.316551924E0,-8.637627959E-1,2.427653074E0
7.570158547E0,3.403738499E0,4.570795596E-1,1.547855020E0
