"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.714821661E1,1.142572835E-1,7.348059177E0,6.376872540E0
1.719631494E1,1.196411322E-3,7.283154011E0,6.876972198E0
1.724441328E1,7.627122104E-2,7.320840836E0,6.706782818E0
1.729251151E1,1.028913707E-1,7.272984505E0,6.553342819E0
1.734060984E1,8.823533356E-2,7.289135933E0,6.480959892E0
1.738870817E1,5.563312769E-2,7.335795879E0,6.533303261E0
1.743680651E1,-1.824527234E-2,7.300202847E0,6.817749977E0
1.748490484E1,7.537391037E-2,7.321738243E0,6.645466805E0
1.753300317E1,3.858426586E-2,7.284350395E0,6.677769661E0
1.758110151E1,2.841476910E-2,7.321439266E0,6.532405853E0
1.762919984E1,2.841476910E-2,7.300202847E0,6.467500687E0
1.767729817E1,1.375873014E-2,7.303792000E0,6.581758022E0
1.772539651E1,-6.879365444E-2,7.329813957E0,6.639783859E0
1.777349484E1,-2.123630047E-2,7.314260483E0,6.639484406E0
1.782159317E1,9.900303930E-2,7.301399231E0,6.524629116E0
1.786969151E1,5.324030295E-2,7.297510624E0,6.629614353E0
1.791778974E1,2.452643216E-2,7.292127132E0,6.637690067E0
1.796588807E1,-1.944168471E-2,7.303792000E0,6.576074600E0
1.801398640E1,8.315058798E-2,7.305287361E0,6.576673031E0
1.806208474E1,3.828516230E-2,7.331010342E0,6.545566559E0
1.811018307E1,1.121635586E-1,7.281658173E0,6.651747704E0
1.815828140E1,3.349951655E-2,7.263113976E0,6.844669342E0
1.820637974E1,2.602194622E-2,7.289135933E0,6.628716946E0
1.825447807E1,5.593222752E-2,7.293622494E0,6.517151356E0
1.830257640E1,8.285148442E-2,7.323532581E0,6.435795784E0
1.835067474E1,3.888336709E-3,7.313363075E0,6.686742783E0
1.839877307E1,5.174478889E-2,7.373483181E0,6.541677952E0
1.844687140E1,-4.007977992E-2,7.334599495E0,6.522236347E0
1.849496974E1,3.140579537E-2,7.272685528E0,6.614359856E0
1.854306807E1,1.055833027E-1,7.265805721E0,6.668198586E0
1.859116640E1,1.049850956E-1,7.288238525E0,6.633801460E0
1.863926474E1,4.456632212E-2,7.302894592E0,6.655336857E0
1.868736307E1,7.178467698E-3,7.372884750E0,6.552445889E0
1.873546140E1,-3.589233849E-3,7.319046497E0,6.705885410E0
1.878355974E1,-5.413761362E-2,7.332206726E0,6.574280262E0
1.883165807E1,5.563312769E-2,7.288238525E0,6.546463490E0
1.887975640E1,5.353940651E-2,7.258926392E0,6.634698868E0
1.892785474E1,1.052841991E-1,7.283154011E0,6.634100914E0
1.897595307E1,7.028916478E-2,7.339983463E0,6.444768906E0
1.902405140E1,2.512463741E-2,7.306783199E0,6.629913330E0
1.907214974E1,3.888336942E-2,7.264310360E0,6.639484406E0
1.912024807E1,7.268198580E-2,7.284350395E0,6.631408691E0
1.916834640E1,1.944168471E-2,7.304090977E0,6.513562202E0
1.921644484E1,-1.854437590E-2,7.316354275E0,6.559325218E0
1.926454317E1,5.982056726E-3,7.335795879E0,6.630810738E0
1.931264151E1,4.636093974E-2,7.326224804E0,6.655037880E0
1.936073984E1,5.742774159E-2,7.298707485E0,6.657131672E0
1.940883817E1,9.032905847E-2,7.310970306E0,6.515058041E0
